G547N;G547T;G659N;G659T;G691N;G691T;G696N;G696T;G761N;G761T;G220N;G220T;G871N;G871T;G701N;G701T;G576N;G576T;G652N;G652T;G699N;G699T;G850N;G850T;G013N;G013T;G603N;G603T;G026N;G026T;G575N;G575T;G613N;G613T;G702N;G702T;G623N;G623T;G645N;G645T;G529N;G529T;G648N;G648T;G601N;G601T;G727N;G727T;G001N;G001T;G243N;G243T;G531N;G531T;G612N;G612T;G428N;G428T
1;3;8;2;;7;;2;5;8;;66;5;14;2;;3;18;2;4;;2;;4;17;25;35;26;35;132;33;17;66;23;84;2;58;37;38;43;58;89;30;3;13;41;7;;6;86;63;24;21;24;;10;3;1
;1;4;;;4;;;8;1;;20;11;4;;;2;6;1;2;;;2;;10;3;11;7;8;12;17;1;17;2;48;;38;5;13;3;32;25;18;2;13;13;5;;;33;47;;18;3;10;1;;
105;225;515;177;58;316;7;32;276;7;63;221;269;98;319;30;172;3767;219;122;5;1023;108;340;949;2469;542;42;4149;4494;1140;52;2369;3368;4424;177;1544;6611;1150;1;15298;4489;1450;10;620;3392;63;11;38;540;2423;1742;876;3895;207;17;7;78
;;3;1;;1;;;2;;;2;9;5;4;1;;4;;;1;3;;2;4;3;6;4;3;37;33;;37;2;30;;27;8;17;;22;20;20;;3;9;;;;17;17;3;6;1;11;1;;
35;105;373;77;25;388;7;7;117;5;7;60;126;22;119;10;50;2038;62;364;2;544;27;146;347;401;83;16;295;3326;396;18;1333;1146;1116;80;857;1435;407;1;1381;3748;733;;236;907;61;4;16;229;1361;550;363;1255;90;11;5;5
36;34;181;30;19;204;14;76;304;34;56;855;205;742;282;27;46;201;79;185;;46;69;134;409;392;539;365;723;2194;4303;451;4767;1227;3550;98;3859;2655;3540;19;3650;3861;6082;95;327;568;146;25;19;822;1910;462;987;1079;475;251;;
1;74;;174;1;227;2;1;36;;;72;16;10;;6;2;919;4;215;7;438;17;293;3;519;3;44;35;3188;1;17;18;1035;23;91;13;564;11;;338;1174;31;2;137;2273;2;1;1;1;766;2810;74;1930;29;18;4;101
;3;;16;;3;;;5;1;;29;2;2;;2;;43;;2;;7;;25;;41;;9;3;434;;2;2;166;5;16;5;40;2;;31;129;6;;14;75;1;2;;;20;47;11;112;5;7;;1
6;21;42;33;12;31;3;1;68;;6;32;83;5;17;11;3;111;12;30;;39;35;38;63;82;16;2;23;598;80;15;173;151;374;15;167;226;79;;191;610;113;1;77;12;12;4;;8;226;27;104;112;71;1;2;2
;1;7;4;;3;1;;11;;;3;13;;1;1;;8;;3;;3;;2;9;4;3;2;;56;23;2;33;6;38;;26;10;14;;23;83;39;;15;1;3;;;;18;2;20;10;15;;;
271;638;1736;155;846;316;74;49;577;30;48;242;884;199;186;20;1184;5508;1064;168;34;2992;136;378;832;1867;3500;73;2284;8833;1990;7;898;542;1605;148;4800;2736;3296;122;3245;4819;3329;9;351;8686;580;163;1107;1308;8372;5876;497;4781;522;53;36;42
;1;;;;;;;1;;;1;5;1;;;1;2;;;;;;;2;1;3;;;6;2;;9;1;7;;2;1;8;;3;13;3;;;;;;;1;2;;;4;1;;1;
3;18;20;10;12;4;2;;8;;1;16;8;4;16;2;5;60;11;1;1;50;8;5;26;39;37;2;90;154;38;1;89;14;76;8;114;108;34;;150;96;31;1;7;158;10;1;9;29;166;79;16;115;3;;9;12
5;41;78;20;38;44;2;2;15;1;3;20;49;10;72;1;24;269;34;23;;38;6;13;74;87;108;12;36;783;147;4;124;35;174;13;457;167;75;1;189;550;120;1;22;369;19;8;13;637;531;106;27;355;12;7;8;9
;;;;3;2;;;6;2;;15;2;7;1;1;3;;4;1;;;2;;8;;17;1;;50;5;1;8;;35;;15;;17;;;66;7;1;4;;1;;4;1;37;;8;;3;;;
6;2;6;;2;;;2;6;;4;15;4;1;14;2;8;3;18;1;1;2;4;1;44;5;62;3;18;29;33;;19;;57;1;59;9;82;;16;52;73;;8;3;20;8;20;11;89;6;28;7;8;;4;
1;;2;1;2;;1;;2;;;2;11;2;;;1;4;;;1;;;;3;13;2;;5;13;2;;22;1;21;;9;21;9;1;4;21;3;;2;1;3;;1;5;13;2;2;6;1;;3;
;1;3;2;2;1;;;2;;;1;3;2;1;;1;2;2;4;;6;;2;3;2;1;;1;33;3;;4;1;3;;11;11;3;;3;24;3;;1;;2;;;8;11;6;1;20;1;;2;3
;;1;;;;;;1;;;;;;;;;1;;;;1;;2;3;2;;;;16;1;;3;1;4;;3;4;;;;11;1;;1;1;1;;;;4;1;;1;;;;
;31;38;19;33;6;12;1;40;;3;15;15;3;18;6;6;2;29;1;;5;2;5;49;6;53;2;5;164;52;1;101;;57;3;135;3;55;;2;111;65;;18;12;24;;1;40;155;1;21;2;15;;;
;1;7;;1;6;;;3;;;2;1;;4;;1;5;5;;;4;1;2;3;1;11;1;4;55;16;2;15;7;15;;29;14;11;;19;40;10;1;2;5;3;;;4;21;11;;10;;1;;
130;85;1954;34;35;959;36;353;3874;49;221;2529;2815;1299;1106;26;82;2239;217;506;3;683;577;336;2998;886;2525;730;2647;3092;6324;250;6556;893;2613;136;10386;3341;14871;71;12368;2107;29597;120;882;2015;1557;1075;49;4299;7052;2009;4336;1296;1308;173;52;216
1;;10;;;10;;;10;;3;6;15;;14;1;;38;2;3;;9;9;15;11;6;9;;4;127;41;5;69;16;30;7;31;25;71;;65;39;62;;10;5;2;1;;3;29;25;39;35;7;;;
4;4;50;;7;1;2;3;47;;;24;36;11;83;5;4;16;6;;;;;3;49;56;31;2;16;146;143;1;707;7;310;2;245;60;184;;71;245;131;;13;1;26;2;1;1;97;3;43;11;24;;;
;4;2;1;1;;;;;;1;1;1;;;;2;1;1;;;;;;2;2;1;;2;5;1;;6;;3;;4;4;2;;2;3;3;;;1;3;;1;3;5;1;;3;1;;;
16;46;23;9;5;41;4;;24;;;17;7;4;10;2;11;30;12;5;1;23;25;28;14;26;9;1;21;220;12;;40;16;770;4;69;36;5;;64;379;30;;13;16;4;;;16;151;39;28;21;3;;;10
2;6;5;;;8;;;2;;;2;1;;;1;;6;;;1;3;1;3;1;4;3;;6;38;3;;12;2;116;1;8;12;2;;44;70;8;;1;1;;;;1;20;11;3;8;1;;;
8;15;20;12;5;23;1;;28;;1;16;26;4;27;;16;244;16;26;5;50;3;22;48;372;42;2;269;180;45;3;156;414;107;16;92;866;144;6;649;205;166;1;56;694;17;;69;56;378;360;49;317;20;3;4;7
5;3;11;2;16;22;;;13;1;1;50;8;3;12;1;2;29;22;37;3;19;17;25;27;49;17;4;30;195;17;8;34;40;80;11;53;80;33;;33;124;30;1;24;49;13;3;24;85;116;55;18;74;6;3;;
2;101;6;12;10;6;12;;6;1;;27;1;3;12;1;3;19;5;1;2;42;;7;7;11;2;4;27;58;6;4;21;5;10;1;15;15;25;7;22;17;66;1;12;32;7;;4;41;38;34;3;71;6;5;1;
;1;5;2;1;3;1;;12;;;7;6;3;7;1;;10;1;2;;;1;;7;12;5;;2;90;17;5;34;18;33;1;23;22;43;1;13;57;64;;;6;8;;;6;15;3;3;14;8;2;1;
1;31;2;12;17;3;5;;1;;;19;2;;1;;1;11;3;1;;50;;9;1;12;;;11;83;;3;7;8;4;1;2;17;8;1;16;13;19;;1;24;2;;4;51;29;15;1;86;2;;;1
;1;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;3;;;;;;;;1;;;;2;;;1;;;;;;2;;;3;;;;
1;14;77;11;11;54;;10;32;;2;37;53;36;29;4;7;130;33;68;;26;11;7;51;51;40;20;16;651;142;7;253;74;292;8;241;250;80;2;121;775;110;4;32;25;26;6;1;872;314;82;58;111;12;7;;1
;;11;1;;2;1;;2;;;;2;1;1;1;;15;;1;;;;1;5;;2;;;18;5;;24;2;10;;12;10;3;;10;25;8;;1;1;2;;;3;9;3;5;10;;;;4
14;18;162;28;23;60;6;5;29;3;3;82;63;9;34;16;25;530;100;136;;190;6;40;81;179;137;9;110;789;127;2;127;205;487;6;987;1243;142;;197;1203;112;6;53;242;13;27;6;352;591;203;71;656;11;2;1;8
;1;6;;4;3;;1;;;;1;;;2;;;5;4;5;;5;;;3;4;;;;10;;;3;4;6;;13;16;1;;11;36;2;;;15;1;;2;29;68;4;;12;;;;
;16;8;7;3;3;;;27;1;;20;11;2;7;;3;63;4;6;;56;1;9;7;18;19;1;3;130;27;5;15;23;17;2;16;29;88;;51;132;69;;11;80;43;;19;54;63;48;3;123;39;1;4;
;;;;;;;;;;;;;;1;;1;1;;;;;;;2;;2;1;2;3;1;1;;;7;;8;2;;;;9;;;;;;;;8;5;;;1;;;;
17;85;30;60;28;185;9;1;16;;1;44;19;3;44;4;24;161;30;106;5;67;;29;32;34;15;24;5;2242;30;1;68;50;190;4;68;95;53;1;99;1405;111;1;37;61;8;2;8;28;401;63;35;140;6;1;;1
2;3;3;;;5;;;1;;;2;2;1;1;;1;22;2;4;;;;3;2;6;1;1;;68;1;;5;8;6;;4;16;12;;8;57;17;;1;1;;1;;;10;5;7;12;1;;1;1
;;;;;;3;;51;;;;;;;;;7;;1;;;1;;1;2;;;1;6;;;;1;1;;;7;3;;770;8;1;;135;4;;;1;;233;;176;6;202;;;
;3;;;;1;23;;14;;;1;;;1;;;4;;1;3;11;;;;;;;;5;;;;1;1;2;;1;;;334;26;2;;31;8;;;2;2;375;1;47;10;49;;;
;;;;1;;2;;28;;;;1;;1;;;9;;1;;4;;2;;;;;;9;1;;1;2;1;1;2;1;;;552;14;1;;48;12;;;4;;276;8;101;1;47;;;
;;;;3;2;11;;15;;;;1;;;;;16;1;1;1;8;;1;;;;;1;12;;;;2;;2;;1;;1;769;27;2;;46;16;;;1;4;526;1;87;4;74;;;
1;28;10;22;14;8;3;;8;;;9;11;1;10;;11;386;20;7;;241;;27;28;204;13;1;179;100;18;;36;367;42;22;68;1663;46;;1550;87;50;;34;506;6;1;14;16;149;261;28;562;8;;;7
17;30;160;19;26;123;2;2;121;1;8;132;193;22;61;8;37;484;94;50;;35;4;17;154;120;290;36;105;1464;755;10;603;129;521;9;735;561;578;3;953;1788;877;4;148;139;52;2;9;512;1104;267;188;485;87;4;;
3;7;29;4;1;10;2;;6;;;7;27;2;11;;1;39;5;4;1;5;1;1;24;16;2;;13;111;40;1;76;34;52;2;129;59;51;;48;103;52;;11;17;16;;;88;58;10;12;29;5;;;
2;2;15;5;11;17;;;7;;;5;10;1;15;;3;44;6;5;;15;;3;21;8;4;2;6;95;26;1;20;8;22;;110;27;32;;18;73;55;;4;64;9;;10;73;61;5;11;25;6;;;
;2;1;;1;14;;;3;;4;28;17;2;1;2;13;31;1;7;;1;29;1;8;36;9;;20;91;4;3;34;29;55;3;30;107;10;;15;25;17;;23;71;2;;1;4;52;17;16;54;6;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
17;41;208;49;41;217;1;11;734;5;63;518;458;99;117;25;34;442;113;37;;31;61;88;432;120;4284;192;308;2504;6157;88;1312;158;1195;32;1170;377;5881;1;659;1390;4933;18;65;26;383;1;21;195;856;338;138;935;547;30;;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;
1;12;42;1;24;1;3;1;94;;8;9;127;26;36;11;6;32;9;3;;1;5;9;33;76;54;4;33;155;323;3;1150;43;509;1;307;81;280;;56;193;131;;17;21;47;6;3;1;117;12;39;55;17;2;10;1
;1;1;;1;;1;;3;;;1;3;;3;;;3;2;;;;;1;4;14;3;;1;5;5;1;19;;8;;7;8;10;;3;13;3;;;;1;;;;5;2;;4;;;;
;1;;;1;;;;;;;;;;;;1;;;;;;;;1;1;;;;1;;;2;;;;3;;1;;;;;;1;;;;2;;1;1;;;;;;
;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;1;;3;;;;;;;;;;;;;;;1;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
14;49;439;33;32;119;8;5;248;1;9;63;230;30;236;24;5;589;61;86;;79;88;90;692;587;192;23;460;1532;779;12;3254;690;2395;39;1270;1270;625;;1122;1944;796;8;268;36;119;2;2;19;1233;105;545;726;103;;2;58
;1;22;2;2;3;;;24;;4;2;21;5;12;1;;9;5;4;;;5;6;18;27;19;1;19;38;137;3;169;16;116;4;88;37;107;;35;71;153;;6;4;17;1;1;;39;2;28;22;33;;;1
21;35;133;31;54;47;8;5;118;1;11;32;84;42;66;22;15;50;83;90;;44;55;27;135;79;82;7;63;49;182;20;467;145;278;14;144;80;73;;99;107;34;4;175;17;34;3;;6;129;11;143;39;49;;113;17
5;;;;;;;;3;;;;2;1;;;;;1;;;2;;;3;;;;;1;6;;5;3;3;;1;1;2;;1;2;;;;;3;;;;9;3;4;5;1;;;
;76;1;;;170;1;;42;7;2;201;207;71;6;;;58;;2;;2;;4;;6;5;29;1;147;;;;12;4;3;2;16;;1;1345;19;74;4;37;32;;1;28;18032;239;21;31;12;34;1;;
;3;2;;;3;;;6;1;;;7;8;1;;2;1;;1;;;1;1;;3;4;2;;;5;;5;2;7;;1;2;4;;;5;4;;;;;1;1;18;12;3;1;4;;;7;1
;4;6;;1;;;1;1;;;1;1;;;;;3;;;;;;;1;2;1;;1;7;2;;5;6;8;;5;1;2;;3;23;2;;;1;;;;5;1;1;;1;;;;
;4;8;;;1;;1;5;;;10;13;11;4;2;16;2;;3;;1;2;;5;2;6;3;1;6;4;;18;4;10;1;8;6;12;;3;25;7;;1;1;7;;2;9;36;;10;13;4;;5;2
5;27;93;5;27;33;4;5;103;1;2;40;189;51;36;4;55;108;27;11;;3;10;5;150;124;115;14;29;266;280;1;1173;60;439;4;381;193;463;;217;610;530;1;53;18;77;;12;59;504;30;95;77;28;;28;2
;1;12;2;11;3;1;;1;;1;5;14;2;4;;15;14;3;1;1;3;;;15;4;2;2;2;73;17;1;135;8;91;3;66;17;19;;20;96;12;;11;6;4;;4;8;59;5;7;8;1;;17;
;;;;2;1;;;;;1;;;;1;;1;1;1;;;;;;;1;;;3;1;;;2;1;1;1;3;5;1;;3;4;;;;3;;;7;;2;2;;2;;;;
24;14;147;18;318;406;26;2;1241;12;195;61;572;16;83;5;107;268;126;155;13;22;20;19;187;22;607;21;97;2227;1796;13;339;411;224;8;645;237;1431;41;377;765;2772;3;201;651;325;1;147;59;2091;136;99;227;474;9;3;
;4;2;2;3;50;;;6;1;6;39;1;;3;;4;27;1;10;1;9;1;;4;2;13;5;8;254;26;2;18;17;31;2;25;46;28;4;95;57;29;;4;48;5;;3;26;57;35;6;40;3;1;;
1;2;8;1;10;2;;;4;;;1;7;1;9;2;10;1;7;;;2;1;;7;4;7;;2;17;14;;69;1;31;;37;3;15;;7;33;17;;4;1;3;1;3;3;41;3;4;3;;;;
;;4;;1;1;;1;5;;;1;7;;3;1;;2;1;;;;;1;4;3;1;;1;11;11;;75;1;25;1;14;5;8;;4;25;4;;1;;2;;;;11;;7;3;1;;;
;1;3;;1;;;;;;;;3;;2;2;;;;;;;;2;3;1;;;;6;3;1;25;;15;;5;3;3;;;21;1;;;;;;;;4;;2;;1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;2;;;;;;;;;;;;;;;;
1;1;11;;2;2;;1;3;;1;13;5;3;3;2;10;21;5;;;2;2;1;18;11;14;3;10;123;30;;138;7;77;1;36;28;29;;15;238;31;;9;7;4;5;3;17;45;1;20;14;3;;;
;2;2;1;6;1;;;2;;;2;2;1;5;;5;8;;;;;;2;1;7;5;;7;37;8;;44;;10;;38;17;9;;17;37;10;;1;29;6;;17;3;27;6;2;12;1;;;
;;1;;;;;;;;;;;;;;;;2;;;;;;;;3;;1;;;;;;1;;29;;6;;;;10;;;;;;20;;4;;;;;;14;
;2;5;;7;;;1;1;1;;4;5;1;1;;2;9;;;;;1;3;1;10;5;1;4;31;15;2;39;9;37;2;58;23;11;3;4;61;4;;2;25;2;;4;6;17;4;;12;1;;3;
;4;1;1;3;;;;;;;1;2;;1;;;12;;;;;;;4;17;;;7;8;2;;10;8;9;;4;15;1;;5;12;1;;;20;;;1;;8;3;;6;;;;
;;3;1;2;;;;1;;1;1;3;;1;;1;2;;;;;2;;;1;2;;;9;3;;23;3;15;;8;3;4;;2;22;3;;1;;1;;;1;2;;3;3;;;1;
1;2;8;;;1;;;12;1;;13;15;15;6;2;;6;;;;1;1;2;5;12;8;12;8;19;18;;93;1;77;;39;18;46;;29;104;41;;2;;3;;;13;16;4;11;4;1;;;
;;6;;;;;;4;;;2;5;;3;1;;1;;1;;1;1;;2;4;4;1;;7;18;;91;2;21;;37;8;7;;8;34;5;;2;1;;;;1;7;1;4;1;1;;1;
;2;27;6;11;12;1;1;8;;;1;5;3;11;1;1;33;10;6;;4;5;4;10;4;8;1;1;143;32;;34;11;48;1;106;34;7;;35;189;11;;4;6;2;1;;10;110;10;9;52;1;;1;2
5;13;7;2;4;1;3;;12;;1;6;6;3;8;1;10;22;18;5;;15;1;14;23;7;24;1;15;238;9;1;18;7;29;2;37;16;14;;21;72;21;;11;31;10;1;78;60;253;34;15;50;2;;2;
26;26;136;10;119;41;18;12;230;32;17;274;84;96;35;3;75;176;82;49;6;134;41;113;158;208;473;105;223;1385;170;34;208;374;587;19;814;840;498;71;471;1241;437;20;132;329;75;56;190;406;1149;429;192;421;67;62;6;19
15;80;1033;84;123;44;225;12;3919;11;9;374;6383;487;229;56;1065;1088;54;40;26;39;48;29;674;1307;417;80;572;2537;3463;34;12159;639;1683;42;1939;794;1362;7;8970;2776;4295;8;3164;671;783;24;310;41;20388;827;3364;640;1522;20;1047;39
6;2;109;3;12;7;11;10;453;6;3;126;970;403;30;11;113;29;3;8;;3;4;3;88;58;190;65;73;110;791;7;1907;26;154;7;397;58;367;5;839;165;750;8;392;92;60;12;114;20;2425;88;401;61;142;14;33;1
;37;11;21;6;25;;;4;2;3;24;10;6;4;1;4;293;5;23;;160;13;22;7;21;5;2;42;874;9;3;13;83;62;11;51;434;6;2;163;875;11;3;13;188;2;4;3;93;103;133;9;391;7;3;7;141
4;7;30;8;7;36;;4;64;10;1;263;49;37;17;1;8;70;6;35;2;23;8;18;76;39;89;104;27;888;177;69;173;103;205;4;403;176;145;33;165;945;204;26;31;84;36;49;12;615;253;99;50;138;16;44;5;7
;32;;24;1;24;2;;44;;;25;24;5;;;;128;;16;;21;2;6;;18;;7;1;580;;7;1;50;3;3;3;67;6;2;279;339;14;;82;17;;1;;;113;22;64;56;30;1;;4
;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;4;1;;1;;2;;2;2;;;;4;;;;1;;;;;1;1;;2;;;;
;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;
;6;9;;9;6;;8;12;;4;27;28;28;3;1;5;10;4;4;;;;;6;5;29;11;;133;86;2;117;5;97;;108;6;60;;6;273;35;;2;7;10;5;3;186;37;1;;11;11;2;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;
1;;2;;2;;;;1;;;1;1;2;1;;6;;;1;;;;;2;1;2;;1;28;4;;9;;9;;30;2;1;;3;46;;;;1;1;;1;18;19;;2;2;1;;;
;;;;;3;2;;18;;;;2;;1;1;;;;;1;1;;;;2;1;;;5;;;;;1;;;;;;46;;;;19;;;;;1;28;;1;;11;;;
;;;;1;;2;;5;;;;;;;;;;;;;1;;;;;;;;2;;;;;;1;;;;;16;;;;3;;;;;3;160;2;;;30;;;
3;8;312;5;32;15;19;3;729;2;1;19;367;18;136;24;137;123;16;7;5;8;12;16;163;259;64;19;274;454;808;5;4437;141;753;15;1315;221;258;3;2005;703;510;1;534;272;122;;122;17;5995;192;946;275;239;4;;
;1;;;2;2;;;2;;;;3;1;;;;;;;;;;;1;2;1;;1;3;4;;16;1;1;;;;;;4;5;2;;1;3;;;1;;12;1;;;2;;1;
;;40;;1;2;5;1;142;;;12;63;16;7;2;4;25;1;;;1;3;4;11;44;13;3;69;50;128;3;801;21;137;;111;30;53;;275;76;60;;50;9;3;4;;1;269;11;113;43;14;;;
105;220;534;457;104;240;78;1;443;2;1079;43;66;30;41;15;143;171;1454;496;14;192;5122;668;568;628;550;54;5145;11266;409;95;331;519;2695;204;3623;1114;587;1;2097;2386;127;9;1914;257;45;22;6;25;5935;1050;1513;2123;482;1;172;18
;8;7;22;6;6;;;7;2;1;8;12;3;3;;19;58;2;11;;;7;2;18;27;9;3;11;476;22;11;43;30;61;;56;49;34;3;15;224;25;4;9;96;7;;3;7;68;48;4;156;8;5;;
;1;2;2;1;5;;;;;;;;;;;3;6;;3;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
1;7;35;6;7;9;2;1;4;;1;3;7;2;16;;1;33;22;15;;10;2;2;16;6;15;;;160;26;;24;4;36;;64;14;20;;12;131;28;;3;5;5;;2;39;61;;9;19;2;;;
;;;;;;;;;;;1;;;;;;1;;;;;2;;;;;;1;3;1;;1;;2;;;;1;;;5;;;;;1;;;;1;;;;;;;
2;23;84;21;18;17;2;1;70;2;2;280;168;27;64;18;32;272;5;7;;10;3;48;86;318;60;60;30;1711;159;24;1259;80;127;15;174;324;138;;188;1290;156;4;30;53;42;;;9;372;169;48;391;23;19;1;
1;12;34;7;4;15;3;;8;;;9;46;5;51;9;25;89;5;2;;14;1;4;15;34;21;5;4;368;37;;260;10;26;2;91;43;47;1;72;271;119;1;6;34;7;;;1;182;40;17;79;2;1;;
;;1;;;;;1;4;;;16;4;4;1;;;3;3;;;1;3;1;3;4;23;1;10;14;1;;3;2;32;;2;;54;;29;7;28;;7;;1;;;2;12;;15;;4;;;
8;1;8;1;4;3;1;1;4;17;;42;7;7;;;5;10;12;;1;29;4;1;4;14;14;14;23;80;1;;18;2;65;;41;3;23;8;177;89;23;1;27;30;;4;1;48;150;13;72;5;2;;5;3
15;69;45;85;36;66;2;2;41;1;10;97;40;14;19;12;27;1156;57;65;2;304;41;105;47;162;83;18;398;2408;88;1;131;172;214;52;279;2634;89;2;1644;1229;52;4;36;834;32;25;7;279;399;1713;57;1802;9;3;1;35
;;1;;;;;;;;;;;;;;;1;;;;;;;2;;;2;5;;1;;;;1;;;5;2;;;7;;;;1;;;;1;1;;;3;;;;
;2;;;1;;;;;;;1;3;1;;;8;2;;77;;;;;;18;;;6;3;1;;10;3;7;3;3;5;1;;4;4;5;;;3;1;;10;1;9;1;3;4;1;15;;
;;;82;;;;;1;1;1;1;1;3;;;;1;1;;;6;5;;;1;;;;;1;;;;;;2;;;;;;;;2;1;1;;1;6;1;2;;1;1;;;
45;11;15;17;20;32;6;2;64;2;407;52;2;11;14;11;74;16;220;;17;50;1258;37;33;12;234;69;59;243;11;18;10;20;69;20;78;41;40;;30;60;4;8;155;19;5;50;14;101;81;36;117;30;81;;1;
;;;;;;;;1;;;2;;;;;;2;;;;;;;;1;;1;;4;;;4;;;;5;1;1;;;6;3;;;;1;;;;2;1;;1;;;;
;2;5;;4;;;;7;;;3;12;1;3;1;4;5;3;2;;;1;;10;7;9;2;2;23;16;;53;2;31;1;37;11;14;1;11;44;10;;;2;7;;8;21;32;1;8;7;;;1;
;;3;;;;1;;25;;;2;8;3;;;;2;1;4;;1;;;7;1;2;;16;13;15;;38;;16;;14;;13;;137;15;72;;11;8;3;1;11;162;80;;13;1;12;;;
;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;;;;
;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;1;;1;1;1;;1;1;;;1;;;;;;1;;;1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;1;;;;;;;
;;;;;;;;2;;;;1;;;;1;;;;;;;;;;;;;;;;4;;;;1;;;;4;;;;1;1;;;;;4;;;;;;;
;;;;;1;;;;;;2;;;;;;1;;1;;1;;;;;;;;3;2;1;1;1;1;;1;;2;;;3;2;;1;;;;;;;;;;;;;
;;1;1;1;1;;;5;;;;;;;;1;3;4;;;2;1;1;3;;3;;1;9;;;2;;7;;5;1;2;;5;8;4;;2;7;1;;;;10;2;3;;2;;;
;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;5;1;;1;;;1;;1;1;8;1;8;1;1;2;;;;;;2;2;4;4;1;1;54;17;1;50;6;33;1;54;3;17;;3;84;17;;3;2;1;1;4;12;34;;6;2;1;;;
1;1;15;;4;2;;2;8;;1;3;31;4;16;1;1;8;;;;1;1;1;11;10;11;3;7;95;59;;277;8;101;1;205;19;90;;24;212;80;;12;3;6;;1;3;45;;10;13;2;;;
1;2;4;;2;3;;;8;;;;20;;2;;2;4;4;;;;;1;4;11;9;;1;38;23;;32;6;30;1;17;15;17;;5;68;22;;4;3;5;1;2;5;21;;10;6;1;;;
1;6;21;1;5;4;2;;4;;;7;14;2;38;;10;23;2;;;;2;3;9;29;12;;9;150;15;;122;3;58;3;198;55;36;;89;214;50;;6;28;10;1;2;8;111;11;27;25;2;;171;6
;;;;;1;;;;;;;;;;;;;;;;;;;;3;;;1;9;1;;8;1;3;;4;1;;;;9;;;;;;;;;2;1;;1;;;;
28;16;183;5;54;11;10;3;118;4;6;115;256;33;121;7;59;143;81;14;2;18;6;5;351;72;139;6;69;243;462;1;574;57;485;2;547;61;404;2;216;707;821;;83;80;254;2;59;51;785;45;105;45;28;;283;40
2;;20;;17;2;3;;14;;;;14;3;6;;2;;5;2;;;1;;14;2;8;2;2;17;34;;63;;26;;106;2;18;;2;33;32;;5;1;4;;;2;186;;5;;3;;33;
;;;;;;;;;;;;;;;;;1;;;;1;;4;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;
1;2;18;;3;6;;;8;1;35;;14;2;11;;2;15;6;7;;2;;;28;2;10;;5;22;34;;118;10;58;;72;11;46;;18;26;67;;7;6;2;1;2;42;104;24;20;5;9;1;;
1;4;19;1;3;22;;;3;;;4;8;;5;2;;26;8;2;;7;;1;10;2;9;;1;75;21;;11;4;11;;41;13;23;;22;67;22;;5;12;3;;1;138;32;5;2;22;1;;;
;;5;;3;2;2;1;5;;;5;7;2;1;;1;4;2;;;2;5;3;4;2;4;1;3;4;3;1;4;3;3;4;2;6;2;;3;4;;;5;15;5;1;15;49;5;;5;;4;1;;
;5;3;1;;2;;;3;;;1;7;2;1;;;27;;;;6;1;5;10;19;6;;37;22;7;;5;44;10;4;21;122;6;;45;11;7;;1;30;1;1;;35;8;37;;32;;;;1
;3;2;1;2;;;;1;;;;5;;4;;;21;;;;8;1;1;6;2;3;;11;37;10;1;5;10;6;1;16;27;13;;41;23;8;;1;30;3;;2;97;15;7;3;31;;;;
1;2;7;1;4;6;;;6;;1;7;7;6;1;1;6;2;5;2;1;3;5;1;8;4;10;1;2;2;9;1;6;3;5;;11;5;12;;12;3;9;;3;7;4;;9;44;8;3;5;4;1;;1;
