G547N;G547T;G659N;G659T;G691N;G691T;G696N;G696T;G761N;G761T;G220N;G220T;G871N;G871T;G701N;G701T;G576N;G576T;G652N;G652T;G699N;G699T;G850N;G850T;G013N;G013T;G603N;G603T;G026N;G026T;G575N;G575T;G613N;G613T;G702N;G702T;G623N;G623T;G645N;G645T;G529N;G529T;G648N;G648T;G601N;G601T;G727N;G727T;G001N;G001T;G243N;G243T;G531N;G531T;G612N;G612T;G428N;G428T
10;;49;;9;;;;7;;3;7;9;8;30;;12;19;13;;;;12;1;51;34;33;3;80;38;85;1;73;5;141;;266;29;34;;112;41;39;;13;3;12;7;1;40;379;7;33;6;6;;1;
40;12;181;10;101;37;21;5;164;;5;16;104;13;53;5;45;213;252;35;5;107;15;10;164;42;257;3;58;421;289;;286;30;186;1;638;162;297;2;155;884;583;;58;167;37;2;48;45;1399;56;102;114;26;3;68;17
30;29;324;26;102;11;53;2;157;1;8;18;213;20;245;15;79;92;132;12;3;24;14;4;297;71;302;7;79;326;1421;3;1189;126;551;3;1204;93;681;8;247;581;1824;1;84;177;276;1;47;21;1470;36;226;50;55;1;18;
;206;;200;5;1292;16;7;495;12;;149;165;13;2;2;2;925;3;312;4;468;38;429;;142;4;23;14;5576;5;48;11;447;29;62;31;351;44;4;1276;2039;212;5;400;567;1;1;3;;1287;708;356;1344;331;11;;3
;7;;9;;13;1;;7;;;8;5;;;;;67;;2;;16;;6;;6;;1;1;209;;3;;86;;6;;80;2;;74;43;4;1;7;32;;;;;10;48;7;135;4;;;30
4;318;300;588;164;209;33;10;93;;11;197;88;41;154;73;35;2015;90;411;8;4047;119;244;121;1290;36;21;106;3348;167;21;399;3167;1137;148;783;7640;172;19;517;5334;121;6;179;1968;32;4;4;247;997;1132;231;2339;38;20;14;89
5;17;99;42;28;1330;4;56;422;55;51;1299;176;592;23;50;17;623;28;2810;1;141;330;95;121;551;107;126;65;2899;415;594;706;3641;2196;130;593;5939;797;33;159;8665;344;78;250;796;64;63;2;853;611;311;365;602;227;1046;16;21
6356;2095;51377;309;17214;971;2433;263;22869;46;872;814;17153;1067;24433;1658;11170;6554;11547;935;298;313;1403;710;109216;15690;72831;737;52359;16974;162350;353;407388;5517;233496;575;290717;6716;78022;305;26392;38740;73704;48;17762;9774;26740;246;793;1496;376078;5335;28210;5253;6252;97;42;5
4;20;115;6;104;1;14;;13;;;4;8;2;11;1;5;15;24;1;3;17;;;26;8;17;3;19;44;7;;20;;19;3;65;7;14;;35;64;36;;6;24;20;;2;15;83;10;3;8;3;1;;
55;101;196;197;86;30;69;3;279;1;364;7;41;10;24;8;42;13;355;50;7;96;4963;388;285;273;203;11;1552;3058;313;56;341;146;2843;191;2609;284;268;1;454;623;66;4;947;48;24;2;11;3;2273;297;756;172;417;;;1
;8;3;2;;1;2;;2;;;;;;;;;;8;2;;2;10;3;2;;3;1;3;18;1;;;;2;;4;1;2;;5;3;;;6;;;;;;6;;4;1;1;;;
413;2872;3504;904;961;169;167;73;3907;32;71;1328;2814;316;2211;212;1121;38261;1330;115;39;1525;135;8908;9455;95140;8498;349;359582;10399;15128;138;18417;29190;18860;3376;12949;102675;20416;137;172452;13935;22040;26;1446;38519;5352;98;329;2303;32968;23904;3618;55799;2080;100;1;5
29;16;302;9;73;3;19;2;508;1;9;13;396;22;222;28;100;230;113;3;2;11;13;24;952;458;750;7;1401;248;2196;5;5153;135;2392;12;2111;242;1664;6;888;533;1090;1;265;143;318;5;6;19;1847;55;414;145;147;1;5;
4;88;1;50;21;25;2;1;10;1;2;30;7;8;6;5;13;15;21;78;;237;3;15;18;57;24;19;3;676;37;3;37;468;98;13;76;649;70;6;24;865;44;;35;283;10;2;6;54;260;203;34;248;6;4;;12
;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;1;;;;6;;;;;;;;10;;;;;;;;;1;;;1;;;;
;;;;;;;;;;;2;;;;;;;;;;;;;;;2;;;2;;;;1;;;;1;1;;;5;;;;;;;;;;1;1;;;;;
;26;4;12;10;31;8;;7;;;24;11;2;11;2;2;32;3;53;1;63;2;8;14;27;3;5;;626;21;2;42;130;278;7;101;442;51;;41;1020;59;1;41;146;;2;5;35;342;90;36;182;5;1;1;17
2;3;;2;;26;;;6;4;;24;1;;;;1;35;;50;;91;1;18;2;5;;26;4;309;3;3;3;27;5;;1;31;5;4;3;106;2;7;;20;;;3;18;18;31;2;6;2;8;;
6;21;62;47;11;24;3;1;65;1;;37;35;5;81;9;25;152;7;56;2;56;7;6;25;31;11;5;8;1110;40;1;92;134;129;7;187;885;112;2;214;2151;169;1;20;204;6;3;6;10;585;77;111;69;42;6;6;5
;1;;;;;;;2;;;1;1;;;;;1;;;;;;;;4;;1;1;10;;2;4;7;2;;;14;3;;2;7;1;;1;7;;;1;;3;2;1;3;1;;;
2;2;67;14;25;14;4;;20;;1;19;29;1;45;6;24;65;9;5;;5;13;4;42;18;15;;6;336;55;;114;32;110;1;271;81;38;;77;312;55;;20;57;15;1;3;19;362;29;55;21;12;1;2;
;1;1;;1;;;;;;;;;;;;;;1;;;;;;;3;;;;1;;;1;;;1;;4;;;;;;;;;;;;1;;;;;;;;
4;3;10;4;1;;;;13;;1;16;11;2;4;4;8;159;5;;;80;1;15;30;115;19;6;40;557;42;2;48;138;49;2;47;117;51;1;101;212;28;3;11;34;10;;4;26;54;93;15;181;12;1;3;8
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;1;3;;;;;;;;2;1;;;;;;;
23;5;105;30;24;130;8;2;100;3;14;404;39;74;28;21;51;1518;44;156;;368;47;74;183;1273;206;12;557;1041;298;13;293;1758;907;76;232;7069;174;3;821;1282;125;4;109;2416;28;1;3;26;348;354;181;1099;26;13;1;207
;;1;;;1;;;1;;;2;;1;;;;1;;;;;;;1;;;1;;5;2;;2;;2;;2;3;1;1;1;3;;;;1;;;;1;2;;1;;1;;;
22;23;146;25;49;159;11;18;107;16;9;106;156;39;101;13;44;262;82;82;;67;13;23;184;72;214;44;59;1981;821;54;848;248;756;4;660;188;643;7;256;1612;876;13;60;313;117;2;63;556;572;103;103;292;85;25;;
275;94;3177;86;338;1087;46;108;2985;44;35;1390;2294;512;1650;106;615;2050;478;469;28;117;249;188;3791;775;3560;280;914;11367;6981;145;9188;714;7879;54;13688;2108;7532;317;3952;12053;13879;86;1382;2953;2228;74;405;1509;15144;784;3086;1486;881;223;78;52
15;15;211;9;54;17;4;2;25;;2;14;50;6;94;9;48;103;40;14;1;30;2;9;136;22;60;11;21;528;164;1;267;23;344;1;602;40;77;1;61;719;138;2;36;108;29;1;2;6;674;33;49;85;7;;2;2
;;8;;1;1;;;1;;;;3;1;9;1;;11;2;;;1;;2;8;1;2;;2;15;7;;45;7;16;;28;5;3;;13;18;13;;1;1;6;;2;2;27;1;23;2;;;;
1;2;12;;6;2;;1;5;;;6;5;;10;6;6;3;2;;;;1;2;7;10;3;;5;55;3;;32;4;22;;25;12;13;;14;91;19;;1;11;3;;;;34;4;7;5;1;;;
;1;5;1;1;;1;;3;;;2;5;1;;;;1;2;;;;;2;2;5;1;1;;9;4;;19;1;10;;7;7;6;;2;24;4;;;4;;;;;7;;1;4;;;3;
4;42;33;14;9;742;1;6;22;1;;14;34;23;19;13;3;312;13;1289;1;218;6;48;32;203;17;14;9;652;60;14;85;838;200;28;137;1076;68;;48;1574;38;;28;80;10;;;287;183;160;49;521;24;6;1;37
;;;;;1;;;;;;;;;;;;;;1;;;;;;1;;;;2;;;;1;;;;1;;;;;;;;;;;;;1;;;;;;;
92;234;336;48;75;562;3;4;148;2;107;277;202;34;126;24;28;1356;407;582;4;540;727;244;990;1509;689;43;1043;8839;641;38;1116;2458;3027;152;823;2667;752;;567;3755;413;5;276;605;199;20;53;727;2653;3288;273;1508;88;4;17;364
;2;3;;2;7;1;;2;;1;;2;;2;;;5;3;8;;12;2;2;3;1;3;2;;79;4;1;3;3;5;1;6;7;2;;;30;2;;;6;;1;;18;28;9;1;15;4;;;
101;453;1283;332;55;956;13;19;837;14;353;1506;1747;280;188;166;127;12388;375;1165;6;532;3621;1710;1078;5434;1046;254;3584;23398;3218;244;4633;6051;7061;844;4457;14854;2343;2;7123;12993;2127;47;1054;2905;298;37;121;1433;4773;6060;1989;17368;701;98;73;3014
;2;4;3;1;8;;1;12;;4;4;13;;1;1;;23;2;9;;1;38;10;6;5;6;4;7;156;20;2;8;21;33;6;14;16;13;;2;106;5;;16;2;;1;1;2;14;4;13;38;7;;;
177;412;1292;155;78;1130;13;17;310;2;120;488;525;127;204;48;70;4243;643;1434;2;484;839;304;1445;1635;1717;81;823;15076;1676;43;2174;1668;5355;169;2393;5202;1554;;1756;10406;1295;10;430;760;273;46;33;524;4401;2349;847;4906;147;16;36;1422
;2;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;9;1;;1;;;;1;1;2;;;9;1;;;2;;;;1;;;;1;;;;
4;2;25;1;1;6;4;1;13;;4;78;9;;8;2;;72;2;14;;2;35;5;15;24;14;9;39;978;39;6;65;127;106;5;96;141;32;;48;823;43;1;31;31;4;1;;2;87;17;32;127;15;1;1;2
25;32;39;77;38;281;15;;10;1;9;19;40;3;39;4;19;12;82;117;2;7;51;8;17;6;27;4;3;91;19;2;7;2;18;3;26;6;15;2;1;50;21;1;23;44;24;1;3;63;20;3;21;4;20;;2;8
